iter	Passed	Remaining
410	3756	5383
411	3766	5374
412	3774	5364
413	3782	5354
414	3791	5344
415	3799	5334
416	3810	5327
417	3819	5318
418	3828	5308
419	3836	5298
420	3845	5288
421	3854	5279
422	3863	5269
423	3872	5261
424	3880	5250
425	3889	5240
426	3897	5230
427	3905	5219
428	3913	5208
429	3921	5198
430	3929	5187
431	3937	5177
432	3945	5166
433	3953	5155
434	3960	5144
435	3968	5133
436	3976	5123
437	3985	5113
438	3993	5103
439	4000	5091
440	4008	5080
441	4016	5070
442	4023	5059
443	4032	5050
444	4040	5039
445	4048	5028
446	4056	5018
447	4064	5008
448	4072	4997
449	4081	4988
450	4090	4979
451	4099	4969
452	4108	4960
453	4116	4951
454	4125	4941
455	4135	4933
456	4143	4923
457	4151	4913
458	4159	4902
459	4166	4891
460	4175	4881
461	4182	4871
462	4190	4860
463	4198	4850
464	4206	4839
465	4213	4828
466	4221	4818
467	4229	4808
468	4237	4797
469	4245	4787
470	4252	4776
471	4260	4766
472	4268	4755
473	4275	4744
474	4283	4734
475	4291	4724
476	4298	4713
477	4306	4703
478	4314	4692
479	4322	4682
480	4330	4672
481	4337	4661
482	4344	4650
483	4351	4639
484	4358	4628
485	4366	4617
486	4373	4607
487	4381	4597
488	4389	4587
489	4396	4576
490	4405	4566
491	4412	4556
492	4419	4545
493	4427	4535
494	4435	4525
495	4443	4514
496	4450	4504
497	4457	4493
498	4465	4483
499	4472	4472
500	4480	4462
501	4487	4451
502	4494	4440
503	4502	4430
504	4509	4420
505	4517	4409
506	4525	4400
507	4534	4391
508	4542	4382
509	4550	4371
510	4557	4361
511	4565	4351
512	4573	4341
513	4580	4331
514	4588	4321
515	4597	4312
516	4604	4302
517	4612	4291
518	4620	4281
519	4628	4272
520	4635	4262
521	4643	4252
522	4651	4242
523	4659	4233
524	4668	4223
525	4675	4213
526	4683	4203
527	4692	4194
528	4700	4184
529	4707	4174
530	4715	4164
531	4722	4154
532	4729	4144
533	4737	4134
534	4745	4124
535	4752	4114
536	4760	4104
537	4767	4093
538	4774	4083
539	4782	4073
540	4790	4064
541	4798	4054
542	4806	4045
543	4813	4034
544	4821	4025
545	4828	4015
546	4836	4004
547	4844	3995
548	4852	3986
549	4859	3976
550	4868	3967
551	4876	3957
552	4884	3948
553	4892	3938
554	4900	3929
555	4908	3919
556	4917	3910
557	4925	3901
558	4933	3892
559	4943	3884
560	4952	3875
561	4961	3867
562	4970	3857
563	4979	3849
564	4988	3840
565	4996	3831
566	5004	3821
567	5012	3812
568	5020	3803
569	5029	3794
570	5037	3784
571	5047	3776
572	5055	3767
573	5063	3757
574	5070	3747
575	5078	3738
576	5086	3728
577	5094	3719
578	5102	3709
579	5109	3700
580	5117	3690
581	5124	3680
582	5132	3670
583	5140	3661
584	5147	3651
585	5156	3642
586	5163	3633
587	5172	3623
588	5179	3614
589	5187	3604
590	5194	3594
591	5201	3584
592	5209	3575
593	5216	3565
594	5222	3555
595	5230	3545
596	5238	3536
597	5245	3526
598	5253	3516
599	5261	3507
600	5269	3498
601	5276	3488
602	5284	3479
603	5292	3469
604	5299	3460
605	5307	3450
606	5314	3440
607	5321	3431
608	5330	3422
609	5337	3412
610	5346	3403
611	5353	3393
612	5361	3385
613	5369	3375
614	5376	3365
615	5383	3356
616	5391	3346
617	5398	3336
618	5405	3327
619	5413	3317
620	5420	3308
621	5428	3298
622	5435	3289
623	5443	3279
624	5451	3270
625	5458	3260
626	5466	3251
627	5473	3242
628	5481	3233
629	5490	3224
630	5497	3214
631	5505	3205
632	5512	3196
633	5520	3186
634	5527	3177
635	5535	3167
636	5543	3159
637	5551	3149
638	5559	3140
639	5567	3131
640	5575	3122
641	5583	3113
642	5589	3103
643	5597	3094
644	5605	3084
645	5612	3075
646	5619	3065
647	5626	3056
648	5634	3047
649	5642	3038
650	5650	3029
651	5657	3019
652	5666	3011
653	5674	3002
654	5681	2992
655	5689	2983
656	5697	2974
657	5705	2965
658	5713	2956
659	5721	2947
660	5730	2938
661	5737	2929
662	5745	2920
663	5752	2911
664	5760	2901
665	5767	2892
666	5775	2883
667	5784	2874
668	5791	2865
669	5800	2856
670	5808	2847
671	5815	2838
672	5823	2829
673	5830	2820
674	5838	2810
675	5845	2801
676	5854	2793
677	5862	2784
678	5870	2775
679	5878	2766
680	5886	2757
681	5893	2748
682	5901	2738
683	5909	2729
684	5916	2720
685	5925	2712
686	5932	2702
687	5940	2693
688	5948	2684
689	5956	2676
690	5964	2667
691	5972	2658
692	5981	2649
693	5989	2640
694	5997	2631
695	6004	2622
696	6012	2613
697	6020	2604
698	6028	2596
699	6036	2586
700	6043	2577
701	6052	2569
702	6060	2560
703	6069	2552
704	6078	2543
705	6087	2534
706	6096	2526
707	6104	2517
708	6113	2509
709	6123	2500
710	6131	2492
711	6140	2483
712	6148	2475
713	6158	2466
714	6168	2458
715	6177	2450
716	6187	2442
717	6194	2433
718	6202	2423
719	6209	2414
720	6218	2406
721	6226	2397
722	6234	2388
723	6241	2379
724	6250	2370
725	6259	2362
726	6267	2353
727	6274	2344
728	6282	2335
729	6290	2326
730	6298	2317
731	6305	2308
732	6312	2299
733	6320	2290
734	6327	2281
735	6335	2272
736	6343	2263
737	6350	2254
738	6359	2245
739	6367	2237
740	6374	2228
741	6381	2218
742	6389	2210
743	6396	2201
744	6405	2192
745	6412	2183
746	6419	2174
747	6427	2165
748	6435	2156
749	6441	2147
750	6449	2138
751	6456	2129
752	6464	2120
753	6471	2111
754	6479	2102
755	6486	2093
756	6494	2084
757	6502	2076
758	6510	2067
759	6518	2058
760	6526	2049
761	6533	2040
762	6541	2031
763	6548	2022
764	6556	2014
765	6563	2005
766	6570	1996
767	6577	1986
768	6584	1978
769	6591	1968
770	6598	1959
771	6607	1951
772	6615	1942
773	6623	1933
774	6631	1925
775	6639	1916
776	6646	1907
777	6654	1898
778	6663	1890
779	6670	1881
780	6677	1872
781	6685	1863
782	6692	1854
783	6700	1846
784	6708	1837
785	6717	1828
786	6725	1820
787	6732	1811
788	6740	1802
789	6748	1793
790	6755	1785
791	6763	1776
792	6770	1767
793	6777	1758
794	6785	1749
795	6792	1740
796	6800	1732
797	6808	1723
798	6815	1714
799	6823	1705
800	6832	1697
801	6840	1688
802	6848	1680
803	6856	1671
804	6864	1662
805	6871	1653
806	6879	1645
807	6886	1636
808	6894	1627
809	6902	1619
810	6909	1610
811	6917	1601
812	6926	1593
813	6934	1584
814	6941	1575
815	6949	1567
816	6958	1558
817	6966	1550
818	6974	1541
819	6982	1532
820	6990	1524
821	6997	1515
822	7004	1506
823	7012	1497
824	7019	1489
825	7027	1480
826	7035	1471
827	7043	1463
828	7052	1454
829	7061	1446
830	7070	1437
831	7079	1429
832	7087	1420
833	7095	1412
834	7104	1403
835	7113	1395
836	7123	1387
837	7132	1378
838	7141	1370
839	7149	1361
840	7158	1353
841	7166	1344
842	7175	1336
843	7183	1327
844	7191	1319
845	7200	1310
846	7209	1302
847	7219	1293
848	7227	1285
849	7237	1277
850	7247	1268
851	7255	1260
852	7264	1251
853	7273	1243
854	7281	1234
855	7290	1226
856	7300	1218
857	7309	1209
858	7318	1201
859	7328	1193
860	7337	1184
861	7347	1176
862	7355	1167
863	7362	1158
864	7370	1150
865	7377	1141
866	7385	1132
867	7392	1124
868	7400	1115
869	7407	1106
870	7415	1098
871	7422	1089
872	7430	1081
873	7438	1072
874	7447	1063
875	7455	1055
876	7462	1046
877	7470	1038
878	7478	1029
879	7487	1021
880	7496	1012
881	7504	1003
882	7510	995
883	7519	986
884	7527	978
885	7535	969
886	7543	961
887	7550	952
888	7557	943
889	7565	935
890	7572	926
891	7579	917
892	7587	909
893	7594	900
894	7602	891
